AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2020,2,70,SUCRE,70204,COLOSO,13,8961,"0,0015"
2022,3,47,MAGDALENA,47570,PUEBLOVIEJO,452,33351,"0,0136"
2022,3,70,SUCRE,70708,SAN MARCOS,1647,60925,"0,027"
2022,1,05,ANTIOQUIA,05483,NARI�O,499,10629,"0,0469"
2020,3,68,SANTANDER,68160,CEPITA,177,2052,"0,0863"
2020,4,41,HUILA,41548,PITAL,1278,14262,"0,0896"
2021,1,76,VALLE DEL CAUCA,76318,GUACARI,3643,35105,"0,1038"
2021,4,47,MAGDALENA,47570,PUEBLOVIEJO,504,32819,"0,0154"
2022,3,05,ANTIOQUIA,05347,HELICONIA,894,5636,"0,1586"
2020,2,25,CUNDINAMARCA,25506,VENECIA,20,4491,"0,0045"
2023,1,54,NORTE DE SANTANDER,54820,TOLEDO,204,17560,"0,0116"
2020,3,17,CALDAS,17495,NORCASIA,346,6065,"0,057"
2022,2,15,BOYACA,15776,SUTAMARCHAN,99,6463,"0,0153"
2020,2,68,SANTANDER,68377,LA BELLEZA,269,6439,"0,0418"
2022,1,15,BOYACA,15480,MUZO,73,8918,"0,0082"
2022,2,73,TOLIMA,73352,ICONONZO,141,12467,"0,0113"
2021,3,68,SANTANDER,68547,PIEDECUESTA,39000,186850,"0,2087"
2020,4,76,VALLE DEL CAUCA,76041,ANSERMANUEVO,1585,17967,"0,0882"
2022,4,76,VALLE DEL CAUCA,76113,BUGALAGRANDE,2539,25914,"0,098"
2023,1,05,ANTIOQUIA,05134,CAMPAMENTO,427,9671,"0,0442"
2020,4,17,CALDAS,17867,VICTORIA,633,10302,"0,0614"
2023,1,17,CALDAS,17777,SUPIA,2974,29856,"0,0996"
2021,1,18,CAQUETA,18785,SOLITA,133,6257,"0,0213"
2020,3,47,MAGDALENA,47001,SANTA MARTA,87296,530107,"0,1647"
2021,1,52,NARI�O,52612,RICAURTE,80,20313,"0,0039"
2021,3,68,SANTANDER,68081,BARRANCABERMEJA,45839,210805,"0,2174"
2020,4,05,ANTIOQUIA,05628,SABANALARGA,451,9311,"0,0484"
2022,1,99,VICHADA,99524,LA PRIMAVERA,20,10808,"0,0019"
2020,2,20,CESAR,20383,LA GLORIA,81,18440,"0,0044"
2021,3,66,RISARALDA,66594,QUINCHIA,674,27755,"0,0243"
2022,3,70,SUCRE,70204,COLOSO,4,9189,"0,0004"
2022,2,18,CAQUETA,18205,CURILLO,22,7980,"0,0028"
2020,4,05,ANTIOQUIA,05125,CAICEDO,327,8558,"0,0382"
2022,3,19,CAUCA,19473,MORALES,48,41162,"0,0012"
2020,3,47,MAGDALENA,47551,PIVIJAY,1043,39594,"0,0263"
2022,2,15,BOYACA,15804,TIBANA,193,9479,"0,0204"
2020,3,73,TOLIMA,73055,ARMERO,1090,13132,"0,083"
2021,2,25,CUNDINAMARCA,25862,VERGARA,99,7321,"0,0135"
2020,2,15,BOYACA,15322,GUATEQUE,328,11040,"0,0297"
2022,1,68,SANTANDER,68167,CHARALA,622,12618,"0,0493"
2020,2,15,BOYACA,15778,SUTATENZA,26,4338,"0,006"
2023,1,17,CALDAS,17873,VILLAMARIA,14030,68601,"0,2045"
2021,3,66,RISARALDA,66088,BELEN DE UMBRIA,2132,25171,"0,0847"
2021,4,52,NARI�O,52256,EL ROSARIO,142,12704,"0,0112"
2021,4,23,CORDOBA,23417,LORICA,4995,115769,"0,0431"
2021,4,15,BOYACA,15673,SAN MATEO,147,3459,"0,0425"
2022,1,08,ATLANTICO,08558,POLONUEVO,349,19840,"0,0176"
2021,4,15,BOYACA,15401,LA VICTORIA,7,1163,"0,006"
2023,1,68,SANTANDER,68705,SANTA BARBARA,10,2496,"0,004"
2020,2,23,CORDOBA,23580,PUERTO LIBERTADOR,1766,43545,"0,0406"
2023,1,05,ANTIOQUIA,05789,TAMESIS,2516,17029,"0,1477"
2020,2,44,LA GUAJIRA,44855,URUMITA,715,11791,"0,0606"
2021,1,50,META,50683,SAN JUAN DE ARAMA,53,9547,"0,0056"
2020,2,50,META,50251,EL CASTILLO,35,8204,"0,0043"
2022,2,25,CUNDINAMARCA,25407,LENGUAZAQUE,706,11369,"0,0621"
2021,4,05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,10665,62600,"0,1704"
2021,1,50,META,50450,PUERTO CONCORDIA,31,8760,"0,0035"
2022,3,68,SANTANDER,68573,PUERTO PARRA,365,7845,"0,0465"
2022,4,08,ATLANTICO,08436,MANATI,875,21488,"0,0407"
2021,2,68,SANTANDER,68179,CHIPATA,102,5207,"0,0196"
2020,2,68,SANTANDER,68533,PARAMO,287,4785,"0,06"
2023,1,05,ANTIOQUIA,05873,VIGIA DEL FUERTE,205,9681,"0,0212"
2021,1,52,NARI�O,52520,FRANCISCO PIZARRO,20,14675,"0,0014"
2021,1,20,CESAR,20178,CHIRIGUANA,793,30552,"0,026"
2021,1,76,VALLE DEL CAUCA,76243,EL AGUILA,61,9077,"0,0067"
2020,3,25,CUNDINAMARCA,25758,SOPO,4099,27997,"0,1464"
2021,2,81,ARAUCA,81736,SARAVENA,5002,61787,"0,081"
2022,4,05,ANTIOQUIA,05021,ALEJANDRIA,632,4874,"0,1297"
2020,2,08,ATLANTICO,08141,CANDELARIA,87,16935,"0,0051"
2020,2,73,TOLIMA,73168,CHAPARRAL,3521,52706,"0,0668"
2022,1,68,SANTANDER,68162,CERRITO,311,7001,"0,0444"
2023,1,19,CAUCA,19300,GUACHENE,19,20401,"0,0009"
2021,4,08,ATLANTICO,08296,GALAPA,7875,66485,"0,1184"
2020,2,73,TOLIMA,73504,ORTEGA,184,34585,"0,0053"
2021,3,23,CORDOBA,23419,LOS CORDOBAS,210,19777,"0,0106"
2022,4,23,CORDOBA,23182,CHINU,4548,50701,"0,0897"
2020,3,08,ATLANTICO,08849,USIACURI,7,13019,"0,0005"
2022,2,47,MAGDALENA,47980,ZONA BANANERA,578,76208,"0,0076"
2022,3,68,SANTANDER,68001,BUCARAMANGA,169423,610125,"0,2777"
2021,4,05,ANTIOQUIA,05282,FREDONIA,1798,25299,"0,0711"
2020,4,23,CORDOBA,23555,PLANETA RICA,4474,66170,"0,0676"
2021,2,27,CHOCO,27245,EL CARMEN DE ATRATO,139,8770,"0,0158"
2023,1,73,TOLIMA,73411,LIBANO,2586,37886,"0,0683"
2021,2,52,NARI�O,52435,MALLAMA,28,9278,"0,003"
2021,4,15,BOYACA,15204,COMBITA,674,13615,"0,0495"
2021,3,19,CAUCA,19573,PUERTO TEJADA,4190,43172,"0,0971"
2021,4,68,SANTANDER,68266,ENCISO,38,3561,"0,0107"
2021,2,70,SUCRE,70508,OVEJAS,779,23283,"0,0335"
2023,1,19,CAUCA,19585,PURACE,14,18428,"0,0008"
2021,4,54,NORTE DE SANTANDER,54553,PUERTO SANTANDER,1834,9591,"0,1912"
2021,1,05,ANTIOQUIA,05842,URAMITA,373,7085,"0,0526"
2020,3,15,BOYACA,15621,RONDON,42,2461,"0,0171"
2020,4,15,BOYACA,15839,TUTAZA,23,2101,"0,0109"
2020,2,05,ANTIOQUIA,05660,SAN LUIS,1081,13350,"0,081"
2021,2,85,CASANARE,85125,HATO COROZAL,405,13141,"0,0308"
2020,2,95,GUAVIARE,95015,CALAMAR,276,10281,"0,0268"
2021,1,81,ARAUCA,81220,CRAVO NORTE,370,4329,"0,0855"
2020,3,05,ANTIOQUIA,05306,GIRALDO,219,5725,"0,0383"
2022,4,15,BOYACA,15537,PAZ DE RIO,199,4426,"0,045"
2022,1,05,ANTIOQUIA,05091,BETANIA,906,10718,"0,0845"
2021,4,73,TOLIMA,73873,VILLARRICA,116,5128,"0,0226"
2021,3,73,TOLIMA,73520,PALOCABILDO,28,9648,"0,0029"
2022,3,05,ANTIOQUIA,05045,APARTADO,28604,129245,"0,2213"
2020,3,15,BOYACA,15403,LA UVITA,11,3091,"0,0036"
2022,2,73,TOLIMA,73043,ANZOATEGUI,24,10487,"0,0023"
2022,2,73,TOLIMA,73411,LIBANO,2799,37689,"0,0743"
2022,2,41,HUILA,41791,TARQUI,520,18555,"0,028"
2021,2,25,CUNDINAMARCA,25823,TOPAIPI,21,4417,"0,0048"
2021,2,41,HUILA,41548,PITAL,250,14449,"0,0173"
2021,1,47,MAGDALENA,47541,PEDRAZA,10,10062,"0,001"
2021,4,94,GUAINIA,94888,MORICHAL,2,955,"0,0021"
2022,2,05,ANTIOQUIA,05400,LA UNION,1566,22692,"0,069"
2022,2,05,ANTIOQUIA,05659,SAN JUAN DE URABA,915,21338,"0,0429"
2021,2,25,CUNDINAMARCA,25326,GUATAVITA,353,6893,"0,0512"
2021,1,73,TOLIMA,73236,DOLORES,76,8533,"0,0089"
2021,2,44,LA GUAJIRA,44378,HATONUEVO,873,22825,"0,0382"
2022,1,68,SANTANDER,68855,VALLE DE SAN JOSE,537,6304,"0,0852"
2022,2,23,CORDOBA,23419,LOS CORDOBAS,146,19968,"0,0073"
2023,1,05,ANTIOQUIA,05045,APARTADO,27980,130362,"0,2146"
2021,3,20,CESAR,20400,LA JAGUA DE IBIRICO,8121,51603,"0,1574"
2022,4,54,NORTE DE SANTANDER,54800,TEORAMA,37,18351,"0,002"
2021,3,20,CESAR,20013,AGUSTIN CODAZZI,5226,67084,"0,0779"
2021,1,15,BOYACA,15776,SUTAMARCHAN,174,6379,"0,0273"
2020,2,27,CHOCO,27660,SAN JOSE DEL PALMAR,29,5330,"0,0054"
2020,3,19,CAUCA,19622,ROSAS,13,11766,"0,0011"
2022,3,52,NARI�O,52696,SANTA BARBARA,33,13976,"0,0024"
2022,1,85,CASANARE,85015,CHAMEZA,70,2470,"0,0283"
2020,4,54,NORTE DE SANTANDER,54800,TEORAMA,54,17613,"0,0031"
2023,1,05,ANTIOQUIA,05659,SAN JUAN DE URABA,791,21540,"0,0367"
2022,2,73,TOLIMA,73030,AMBALEMA,175,6819,"0,0257"
2023,1,05,ANTIOQUIA,05837,TURBO,13888,133430,"0,1041"
2021,3,08,ATLANTICO,08849,USIACURI,229,13266,"0,0173"
2021,1,25,CUNDINAMARCA,25875,VILLETA,5315,29642,"0,1793"
2021,2,18,CAQUETA,18460,MILAN,379,10096,"0,0375"
2020,3,25,CUNDINAMARCA,25297,GACHETA,322,8852,"0,0364"
2023,1,25,CUNDINAMARCA,25740,SIBATE,8476,39761,"0,2132"
2022,4,23,CORDOBA,23162,CERETE,7436,112124,"0,0663"
2021,3,68,SANTANDER,68498,OCAMONTE,17,6028,"0,0028"
2020,4,44,LA GUAJIRA,44110,EL MOLINO,114,7830,"0,0146"
2020,3,05,ANTIOQUIA,05310,GOMEZ PLATA,989,10048,"0,0984"
2022,1,68,SANTANDER,68013,AGUADA,30,1924,"0,0156"
2020,4,99,VICHADA,99001,PUERTO CARRE�O,1333,21339,"0,0625"
2023,1,70,SUCRE,70717,SAN PEDRO,1164,20065,"0,058"
2020,3,25,CUNDINAMARCA,25483,NARI�O,37,2504,"0,0148"
2020,2,08,ATLANTICO,08421,LURUACO,632,29821,"0,0212"
2021,3,44,LA GUAJIRA,44090,DIBULLA,358,43892,"0,0082"
2023,1,15,BOYACA,15516,PAIPA,8179,36078,"0,2267"
2020,4,52,NARI�O,52317,GUACHUCAL,112,19917,"0,0056"
2021,4,05,ANTIOQUIA,05142,CARACOLI,448,4715,"0,095"
2020,3,05,ANTIOQUIA,05044,ANZA,228,7230,"0,0315"
2022,2,73,TOLIMA,73671,SALDA�A,199,14808,"0,0134"
2021,2,52,NARI�O,52399,LA UNION,428,32835,"0,013"
2021,2,73,TOLIMA,73555,PLANADAS,401,26972,"0,0149"
2020,2,25,CUNDINAMARCA,25649,SAN BERNARDO,31,8964,"0,0035"
2022,1,73,TOLIMA,73283,FRESNO,1209,31847,"0,038"
2021,3,20,CESAR,20295,GAMARRA,121,16503,"0,0073"
2021,1,13,BOLIVAR,13473,MORALES,362,24027,"0,0151"
2022,2,05,ANTIOQUIA,05051,ARBOLETES,1582,31470,"0,0503"
2021,2,68,SANTANDER,68673,SAN BENITO,7,2985,"0,0023"
2020,2,47,MAGDALENA,47675,SALAMINA,401,11416,"0,0351"
2021,2,47,MAGDALENA,47675,SALAMINA,406,11657,"0,0348"
2021,2,19,CAUCA,19318,GUAPI,313,28594,"0,0109"
2020,2,18,CAQUETA,18785,SOLITA,27,6271,"0,0043"
2021,1,15,BOYACA,15442,MARIPI,17,5894,"0,0029"
2022,1,25,CUNDINAMARCA,25178,CHIPAQUE,183,10658,"0,0172"
2021,1,66,RISARALDA,66001,PEREIRA,130427,479864,"0,2718"
2021,4,47,MAGDALENA,47980,ZONA BANANERA,861,75123,"0,0115"
2021,3,05,ANTIOQUIA,05490,NECOCLI,2641,44348,"0,0596"
2021,4,54,NORTE DE SANTANDER,54673,SAN CAYETANO,185,7833,"0,0236"
2020,4,23,CORDOBA,23686,SAN PELAYO,1283,53208,"0,0241"
2020,3,05,ANTIOQUIA,05873,VIGIA DEL FUERTE,218,9409,"0,0232"
2022,1,15,BOYACA,15131,CALDAS,12,3259,"0,0037"
2020,2,41,HUILA,41396,LA PLATA,3443,63233,"0,0544"
2020,3,17,CALDAS,17665,SAN JOSE,177,4854,"0,0365"
2021,2,73,TOLIMA,73168,CHAPARRAL,4711,53754,"0,0876"
2020,2,52,NARI�O,52323,GUALMATAN,38,7211,"0,0053"
2020,3,05,ANTIOQUIA,05051,ARBOLETES,1151,30663,"0,0375"
2021,4,41,HUILA,41298,GARZON,5870,75976,"0,0773"
2020,3,66,RISARALDA,66075,BALBOA,99,6476,"0,0153"
2022,1,23,CORDOBA,23686,SAN PELAYO,1116,54160,"0,0206"
2020,3,50,META,50370,URIBE,370,9578,"0,0386"
2021,1,41,HUILA,41676,SANTA MARIA,146,10895,"0,0134"
2020,4,68,SANTANDER,68322,GUAPOTA,30,2446,"0,0123"
2022,1,76,VALLE DEL CAUCA,76113,BUGALAGRANDE,2227,25914,"0,0859"
2021,2,15,BOYACA,15599,RAMIRIQUI,813,10310,"0,0789"
2021,4,25,CUNDINAMARCA,25183,CHOCONTA,1267,22624,"0,056"
2021,4,52,NARI�O,52390,LA TOLA,31,7563,"0,0041"
2022,3,27,CHOCO,27001,QUIBDO,16030,139740,"0,1147"
2021,2,27,CHOCO,27800,UNGUIA,372,13761,"0,027"
2020,4,13,BOLIVAR,13744,SIMITI,305,19132,"0,0159"
2022,3,68,SANTANDER,68418,LOS SANTOS,224,15215,"0,0147"
2021,4,15,BOYACA,15667,SAN LUIS DE GACENO,23,5683,"0,004"
2022,1,63,QUINDIO,63212,CORDOBA,89,5855,"0,0152"
2020,2,20,CESAR,20550,PELAYA,203,22318,"0,0091"
2020,2,73,TOLIMA,73678,SAN LUIS,82,13449,"0,0061"
2021,2,15,BOYACA,15491,NOBSA,1606,16799,"0,0956"
2022,4,08,ATLANTICO,08849,USIACURI,1134,13438,"0,0844"
2020,3,54,NORTE DE SANTANDER,54743,SILOS,46,6704,"0,0069"
2020,3,70,SUCRE,70473,MORROA,633,15711,"0,0403"
2021,1,08,ATLANTICO,08849,USIACURI,229,13266,"0,0173"
2020,4,54,NORTE DE SANTANDER,54660,SALAZAR,36,11030,"0,0033"
2022,4,76,VALLE DEL CAUCA,76890,YOTOCO,1148,16391,"0,07"
2023,1,66,RISARALDA,66383,LA CELIA,59,7642,"0,0077"
2023,1,68,SANTANDER,68679,SAN GIL,10757,63009,"0,1707"
2021,3,68,SANTANDER,68327,GsEPSA,100,5263,"0,019"
2021,4,44,LA GUAJIRA,44874,VILLANUEVA,1810,31630,"0,0572"
2020,2,76,VALLE DEL CAUCA,76606,RESTREPO,211,16031,"0,0132"
2021,3,52,NARI�O,52390,LA TOLA,22,7563,"0,0029"
2022,4,54,NORTE DE SANTANDER,54239,DURANIA,30,5082,"0,0059"
2022,1,86,PUTUMAYO,86757,SAN MIGUEL,385,20644,"0,0186"
2020,2,52,NARI�O,52506,OSPINA,14,7226,"0,0019"
2022,3,52,NARI�O,52110,BUESACO,955,24726,"0,0386"
2021,1,52,NARI�O,52490,OLAYA HERRERA,94,25969,"0,0036"
2022,4,13,BOLIVAR,13222,CLEMENCIA,911,15912,"0,0573"
2021,3,27,CHOCO,27580,RIO IRO,10,5570,"0,0018"
2020,3,47,MAGDALENA,47745,SITIONUEVO,30,28959,"0,001"
2022,3,25,CUNDINAMARCA,25324,GUATAQUI,14,3214,"0,0044"
2021,4,15,BOYACA,15491,NOBSA,1545,16799,"0,092"
2023,1,68,SANTANDER,68861,VELEZ,1519,26109,"0,0582"
2021,2,85,CASANARE,85325,SAN LUIS DE PALENQUE,333,8582,"0,0388"
2021,3,70,SUCRE,70233,EL ROBLE,21,10054,"0,0021"
2022,3,19,CAUCA,19392,LA SIERRA,8,11147,"0,0007"
2022,4,20,CESAR,20614,RIO DE ORO,23,18902,"0,0012"
2023,1,05,ANTIOQUIA,05792,TARSO,396,6510,"0,0608"
2021,3,08,ATLANTICO,08372,JUAN DE ACOSTA,1025,22823,"0,0449"
2020,3,41,HUILA,41524,PALERMO,1490,27202,"0,0548"
2022,4,15,BOYACA,15238,DUITAMA,28928,130212,"0,2222"
2021,4,44,LA GUAJIRA,44560,MANAURE,603,93190,"0,0065"
2021,2,76,VALLE DEL CAUCA,76869,VIJES,216,13170,"0,0164"
2021,3,05,ANTIOQUIA,05809,TITIRIBI,1913,11054,"0,1731"
2022,2,15,BOYACA,15693,SANTA ROSA DE VITERBO,275,13836,"0,0199"
2022,1,15,BOYACA,15176,CHIQUINQUIRA,5207,59518,"0,0875"
2021,4,76,VALLE DEL CAUCA,76275,FLORIDA,5039,58161,"0,0866"
2021,1,05,ANTIOQUIA,05761,SOPETRAN,7307,15672,"0,4662"
2020,3,52,NARI�O,52378,LA CRUZ,742,19067,"0,0389"
2020,4,17,CALDAS,17614,RIOSUCIO,3810,52466,"0,0726"
2021,1,52,NARI�O,52227,CUMBAL,124,38175,"0,0032"
2021,2,86,PUTUMAYO,86755,SAN FRANCISCO,222,6028,"0,0368"
2020,4,15,BOYACA,15087,BELEN,486,7682,"0,0633"
2022,3,25,CUNDINAMARCA,25426,MACHETA,123,6748,"0,0182"
2022,1,47,MAGDALENA,47460,NUEVA GRANADA,251,21867,"0,0115"
2022,1,66,RISARALDA,66572,PUEBLO RICO,413,16706,"0,0247"
2021,4,66,RISARALDA,66400,LA VIRGINIA,5096,28389,"0,1795"
2022,2,05,ANTIOQUIA,05856,VALPARAISO,601,6820,"0,0881"
2021,2,86,PUTUMAYO,86219,COLON,147,5631,"0,0261"
2022,2,13,BOLIVAR,13620,SAN CRISTOBAL,522,8614,"0,0606"
2022,3,15,BOYACA,15135,CAMPOHERMOSO,16,3231,"0,005"
2020,4,13,BOLIVAR,13670,SAN PABLO,436,28495,"0,0153"
2020,4,81,ARAUCA,81794,TAME,3324,49341,"0,0674"
2022,2,15,BOYACA,15816,TOGsI,261,4520,"0,0577"
2021,1,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,1196,34651,"0,0345"
2021,4,73,TOLIMA,73686,SANTA ISABEL,30,5748,"0,0052"
2022,3,25,CUNDINAMARCA,25290,FUSAGASUGA,36694,159734,"0,2297"
2022,3,41,HUILA,41013,AGRADO,240,9282,"0,0259"
2021,1,68,SANTANDER,68780,SURATA,90,4042,"0,0223"
2021,2,85,CASANARE,85400,TAMARA,39,6771,"0,0058"
2022,3,13,BOLIVAR,13620,SAN CRISTOBAL,503,8614,"0,0584"
2022,1,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,1593,59555,"0,0267"
2021,2,19,CAUCA,19001,POPAYAN,73180,332323,"0,2202"
2022,4,25,CUNDINAMARCA,25486,NEMOCON,2019,15082,"0,1339"
2021,3,17,CALDAS,17380,LA DORADA,11167,74200,"0,1505"
2020,2,66,RISARALDA,66088,BELEN DE UMBRIA,1022,25078,"0,0408"
2021,3,95,GUAVIARE,95200,MIRAFLORES,179,7473,"0,024"
2022,3,19,CAUCA,19517,PAEZ,143,48668,"0,0029"
2023,1,19,CAUCA,19318,GUAPI,263,29207,"0,009"
2023,1,05,ANTIOQUIA,05086,BELMIRA,603,6356,"0,0949"
2021,3,05,ANTIOQUIA,05361,ITUANGO,1255,28142,"0,0446"
2022,4,17,CALDAS,17867,VICTORIA,598,10414,"0,0574"
2020,4,13,BOLIVAR,13433,MAHATES,249,29030,"0,0086"
2020,3,25,CUNDINAMARCA,25592,QUEBRADANEGRA,117,5000,"0,0234"
2022,1,15,BOYACA,15761,SOMONDOCO,7,3011,"0,0023"
2022,4,13,BOLIVAR,13248,EL GUAMO,54,9314,"0,0058"
2020,4,68,SANTANDER,68524,PALMAS DEL SOCORRO,11,2587,"0,0043"
2020,4,52,NARI�O,52520,FRANCISCO PIZARRO,13,14545,"0,0009"
2020,4,15,BOYACA,15757,SOCHA,178,8173,"0,0218"
2022,4,52,NARI�O,52720,SAPUYES,167,7582,"0,022"
2022,1,50,META,50680,SAN CARLOS DE GUAROA,186,13238,"0,0141"
2022,2,05,ANTIOQUIA,05190,CISNEROS,2242,10253,"0,2187"
2020,3,73,TOLIMA,73067,ATACO,57,19685,"0,0029"
2020,2,05,ANTIOQUIA,05856,VALPARAISO,511,6682,"0,0765"
2022,1,23,CORDOBA,23090,CANALETE,106,16233,"0,0065"
2020,2,05,ANTIOQUIA,05631,SABANETA,36208,86154,"0,4203"
2023,1,70,SUCRE,70771,SUCRE,139,32573,"0,0043"
2020,3,52,NARI�O,52287,FUNES,19,7339,"0,0026"
2021,1,25,CUNDINAMARCA,25245,EL COLEGIO,785,26416,"0,0297"
2023,1,15,BOYACA,15764,SORACA,161,6352,"0,0253"
2022,4,68,SANTANDER,68271,FLORIAN,19,5965,"0,0032"
2020,3,54,NORTE DE SANTANDER,54377,LABATECA,60,6791,"0,0088"
2020,2,54,NORTE DE SANTANDER,54599,RAGONVALIA,84,6381,"0,0132"
2020,4,52,NARI�O,52720,SAPUYES,18,7483,"0,0024"
2021,4,13,BOLIVAR,13268,EL PE�ON,36,7895,"0,0046"
2021,1,41,HUILA,41396,LA PLATA,7193,64133,"0,1122"
2022,3,05,ANTIOQUIA,05361,ITUANGO,1214,28393,"0,0428"
2021,1,08,ATLANTICO,08606,REPELON,458,28155,"0,0163"
2023,1,25,CUNDINAMARCA,25878,VIOTA,676,15255,"0,0443"
2021,3,23,CORDOBA,23686,SAN PELAYO,1199,53670,"0,0223"
2021,1,25,CUNDINAMARCA,25377,LA CALERA,8348,33112,"0,2521"
2023,1,73,TOLIMA,73520,PALOCABILDO,157,9718,"0,0162"
2022,4,19,CAUCA,19300,GUACHENE,20,20187,"0,001"
2020,2,13,BOLIVAR,13673,SANTA CATALINA,169,15286,"0,0111"
2022,4,70,SUCRE,70708,SAN MARCOS,1622,60925,"0,0266"
2021,3,23,CORDOBA,23855,VALENCIA,1499,37459,"0,04"
2022,3,68,SANTANDER,68160,CEPITA,32,2086,"0,0153"
2021,3,05,ANTIOQUIA,05120,CACERES,1719,30370,"0,0566"
2021,1,52,NARI�O,52287,FUNES,92,7385,"0,0125"
2020,4,27,CHOCO,27430,MEDIO BAUDO,15,15765,"0,001"
2022,4,73,TOLIMA,73319,GUAMO,3799,34495,"0,1101"
2022,1,15,BOYACA,15401,LA VICTORIA,7,1173,"0,006"
2021,3,17,CALDAS,17042,ANSERMA,4186,36966,"0,1132"
2022,3,70,SUCRE,70124,CAIMITO,61,16724,"0,0036"
2022,1,76,VALLE DEL CAUCA,76147,CARTAGO,23605,142456,"0,1657"
2020,2,25,CUNDINAMARCA,25653,SAN CAYETANO,52,5111,"0,0102"
2022,4,68,SANTANDER,68385,LANDAZURI,33,10555,"0,0031"
2021,2,47,MAGDALENA,47960,ZAPAYAN,2,10631,"0,0002"
2020,3,68,SANTANDER,68132,CALIFORNIA,20,2191,"0,0091"
2022,2,95,GUAVIARE,95025,EL RETORNO,47,16418,"0,0029"
2022,4,20,CESAR,20310,GONZALEZ,10,4739,"0,0021"
2022,3,17,CALDAS,17088,BELALCAZAR,13224,10837,"1,2203"
2023,1,68,SANTANDER,68179,CHIPATA,61,5309,"0,0115"
2021,3,25,CUNDINAMARCA,25483,NARI�O,27,2555,"0,0106"
2022,1,70,SUCRE,70418,LOS PALMITOS,935,24335,"0,0384"
2020,4,68,SANTANDER,68255,EL PLAYON,160,13885,"0,0115"
2023,1,41,HUILA,41885,YAGUARA,388,8218,"0,0472"
2022,3,23,CORDOBA,23815,TUCH�N,672,56269,"0,0119"
2021,4,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,1679,57717,"0,0291"
2020,3,25,CUNDINAMARCA,25299,GAMA,55,3296,"0,0167"
2020,3,25,CUNDINAMARCA,25885,YACOPI,39,12936,"0,003"
2020,4,25,CUNDINAMARCA,25001,AGUA DE DIOS,187,12497,"0,015"
2022,4,52,NARI�O,52224,CUASPUD,8,9570,"0,0008"
2022,3,44,LA GUAJIRA,44650,SAN JUAN DEL CESAR,2091,53731,"0,0389"
2021,4,81,ARAUCA,81300,FORTUL,1177,22903,"0,0514"
2020,4,52,NARI�O,52207,CONSACA,27,14093,"0,0019"
2023,1,15,BOYACA,15696,SANTA SOFIA,64,3374,"0,019"
2021,1,86,PUTUMAYO,86219,COLON,136,5631,"0,0242"
2022,4,70,SUCRE,70400,LA UNION,684,14046,"0,0487"
2022,2,20,CESAR,20750,SAN DIEGO,516,21311,"0,0242"
2021,4,25,CUNDINAMARCA,25279,FOMEQUE,272,13076,"0,0208"
2022,3,54,NORTE DE SANTANDER,54250,EL TARRA,98,23058,"0,0043"
2023,1,68,SANTANDER,68755,SOCORRO,3754,35604,"0,1054"
2020,3,15,BOYACA,15861,VENTAQUEMADA,115,16273,"0,0071"
2022,4,13,BOLIVAR,13760,SOPLAVIENTO,722,11375,"0,0635"
2021,3,25,CUNDINAMARCA,25535,PASCA,459,9877,"0,0465"
2021,3,25,CUNDINAMARCA,25779,SUSA,387,7032,"0,055"
2020,2,15,BOYACA,15114,BUSBANZA,12,1174,"0,0102"
2021,1,68,SANTANDER,68079,BARICHARA,1205,10873,"0,1108"
2022,1,13,BOLIVAR,13062,ARROYOHONDO,602,8694,"0,0692"
2022,4,54,NORTE DE SANTANDER,54172,CHINACOTA,392,19473,"0,0201"
2022,3,63,QUINDIO,63690,SALENTO,538,9685,"0,0555"
2022,2,25,CUNDINAMARCA,25326,GUATAVITA,345,7145,"0,0483"
2022,3,76,VALLE DEL CAUCA,76318,GUACARI,3009,35239,"0,0854"
2021,2,25,CUNDINAMARCA,25120,CABRERA,57,5153,"0,0111"
2021,3,13,BOLIVAR,13744,SIMITI,460,19504,"0,0236"
2023,1,15,BOYACA,15798,TENZA,10,4064,"0,0025"
2023,1,20,CESAR,20032,ASTREA,89,22921,"0,0039"
2020,2,68,SANTANDER,68679,SAN GIL,8415,60061,"0,1401"
2023,1,68,SANTANDER,68077,BARBOSA,5333,32861,"0,1623"
2022,1,52,NARI�O,52399,LA UNION,399,33028,"0,0121"
2022,1,76,VALLE DEL CAUCA,76670,SAN PEDRO,929,17987,"0,0516"
2020,2,15,BOYACA,15761,SOMONDOCO,15,2968,"0,0051"
2022,1,17,CALDAS,17877,VITERBO,2324,13077,"0,1777"
2022,2,19,CAUCA,19418,LOPEZ,132,19530,"0,0068"
2021,3,15,BOYACA,15673,SAN MATEO,152,3459,"0,0439"
2021,1,19,CAUCA,19622,ROSAS,66,11887,"0,0056"
2022,4,68,SANTANDER,68500,OIBA,729,10968,"0,0665"
2021,3,08,ATLANTICO,08770,SUAN,509,12802,"0,0398"
2023,1,85,CASANARE,85015,CHAMEZA,35,2504,"0,014"
