AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2022,2,73,TOLIMA,73408,LERIDA,365,18640,"0,0196"
2020,2,41,HUILA,41548,PITAL,321,14262,"0,0225"
2022,2,20,CESAR,20013,AGUSTIN CODAZZI,5160,68472,"0,0754"
2022,2,19,CAUCA,19022,ALMAGUER,12,19226,"0,0006"
2022,1,13,BOLIVAR,13268,EL PE�ON,28,8006,"0,0035"
2020,2,19,CAUCA,19392,LA SIERRA,34,10954,"0,0031"
2021,1,25,CUNDINAMARCA,25426,MACHETA,79,6536,"0,0121"
2021,1,25,CUNDINAMARCA,25335,GUAYABETAL,199,6855,"0,029"
2022,1,05,ANTIOQUIA,05120,CACERES,1823,30642,"0,0595"
2021,2,25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,253,12983,"0,0195"
2022,3,44,LA GUAJIRA,44001,RIOHACHA,28345,217719,"0,1302"
2022,4,54,NORTE DE SANTANDER,54051,ARBOLEDAS,289,10796,"0,0268"
2022,3,05,ANTIOQUIA,05308,GIRARDOTA,10550,54986,"0,1919"
2022,4,27,CHOCO,27372,JURADO,142,7274,"0,0195"
2020,3,25,CUNDINAMARCA,25214,COTA,9078,35539,"0,2554"
2021,4,25,CUNDINAMARCA,25807,TIBIRITA,9,3412,"0,0026"
2020,2,76,VALLE DEL CAUCA,76863,VERSALLES,173,7388,"0,0234"
2020,4,52,NARI�O,52835,SAN ANDRES DE TUMACO,9191,260054,"0,0353"
2021,2,73,TOLIMA,73616,RIOBLANCO,480,23080,"0,0208"
2021,3,52,NARI�O,52287,FUNES,83,7385,"0,0112"
2020,3,41,HUILA,41306,GIGANTE,1020,25360,"0,0402"
2020,3,05,ANTIOQUIA,05264,ENTRERRIOS,1837,11624,"0,158"
2021,1,85,CASANARE,85162,MONTERREY,1687,18531,"0,091"
2021,1,76,VALLE DEL CAUCA,76869,VIJES,219,13170,"0,0166"
2022,1,15,BOYACA,15293,GACHANTIVA,50,2905,"0,0172"
2023,1,05,ANTIOQUIA,05038,ANGOSTURA,410,12005,"0,0342"
2020,2,73,TOLIMA,73461,MURILLO,27,4297,"0,0063"
2021,4,70,SUCRE,70702,SAN JUAN DE BETULIA,974,13947,"0,0698"
2021,3,66,RISARALDA,66045,APIA,229,12559,"0,0182"
2021,2,15,BOYACA,15403,LA UVITA,14,3118,"0,0045"
2021,3,73,TOLIMA,73349,HONDA,4795,25718,"0,1864"
2022,3,73,TOLIMA,73270,FALAN,467,7890,"0,0592"
2023,1,23,CORDOBA,23660,SAHAGUN,5091,115097,"0,0442"
2022,2,05,ANTIOQUIA,05756,SONSON,2867,37850,"0,0757"
2022,3,47,MAGDALENA,47703,SAN ZENON,38,13125,"0,0029"
2021,4,05,ANTIOQUIA,05147,CAREPA,7095,50885,"0,1394"
2020,4,97,VAUPES,97161,CARURU,6,3181,"0,0019"
2021,3,73,TOLIMA,73043,ANZOATEGUI,25,10419,"0,0024"
2021,1,05,ANTIOQUIA,05002,ABEJORRAL,2145,20924,"0,1025"
2021,3,15,BOYACA,15810,TIPACOQUE,13,3412,"0,0038"
2023,1,52,NARI�O,52260,EL TAMBO,1279,14811,"0,0864"
2020,3,52,NARI�O,52207,CONSACA,18,14093,"0,0013"
2021,4,05,ANTIOQUIA,05308,GIRARDOTA,9811,54489,"0,1801"
2023,1,05,ANTIOQUIA,05576,PUEBLORRICO,747,9124,"0,0819"
2022,4,44,LA GUAJIRA,44650,SAN JUAN DEL CESAR,2315,53731,"0,0431"
2021,3,13,BOLIVAR,13268,EL PE�ON,42,7895,"0,0053"
2022,1,68,SANTANDER,68502,ONZAGA,146,4237,"0,0345"
2020,2,15,BOYACA,15092,BETEITIVA,18,1989,"0,009"
2021,1,73,TOLIMA,73001,IBAGUE,140823,537856,"0,2618"
2022,3,52,NARI�O,52835,SAN ANDRES DE TUMACO,8576,263990,"0,0325"
2020,4,25,CUNDINAMARCA,25807,TIBIRITA,106,3337,"0,0318"
2022,3,05,ANTIOQUIA,05400,LA UNION,1560,22692,"0,0687"
2022,1,20,CESAR,20295,GAMARRA,230,16842,"0,0137"
2020,2,73,TOLIMA,73352,ICONONZO,197,12253,"0,0161"
2020,4,52,NARI�O,52110,BUESACO,719,24405,"0,0295"
2020,4,19,CAUCA,19532,PATIA,339,37794,"0,009"
2022,1,47,MAGDALENA,47001,SANTA MARTA,150835,548202,"0,2751"
2020,3,68,SANTANDER,68682,SAN JOAQUIN,15,2234,"0,0067"
2021,1,52,NARI�O,52585,PUPIALES,203,17946,"0,0113"
2023,1,05,ANTIOQUIA,05756,SONSON,3864,38203,"0,1011"
2021,1,05,ANTIOQUIA,05809,TITIRIBI,663,11054,"0,06"
2021,4,54,NORTE DE SANTANDER,54261,EL ZULIA,989,29813,"0,0332"
2022,1,05,ANTIOQUIA,05368,JERICO,1817,14211,"0,1279"
2022,3,68,SANTANDER,68079,BARICHARA,874,11000,"0,0795"
2022,1,25,CUNDINAMARCA,25878,VIOTA,785,14746,"0,0532"
2023,1,68,SANTANDER,68147,CAPITANEJO,97,5687,"0,0171"
2023,1,52,NARI�O,52838,TUQUERRES,2472,46419,"0,0533"
2023,1,13,BOLIVAR,13212,CORDOBA,518,17408,"0,0298"
2020,2,08,ATLANTICO,08520,PALMAR DE VARELA,841,30799,"0,0273"
2021,3,13,BOLIVAR,13647,SAN ESTANISLAO,54,19406,"0,0028"
2022,1,15,BOYACA,15047,AQUITANIA,196,16141,"0,0121"
2023,1,66,RISARALDA,66594,QUINCHIA,513,27890,"0,0184"
2021,3,94,GUAINIA,94001,INIRIDA,1149,35041,"0,0328"
2020,3,05,ANTIOQUIA,05172,CHIGORODO,7384,59822,"0,1234"
